Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
172,Luis Arraez,27,MIA,NL,33,33,21,290.0,142,61,77,4,22,.972,-1,-4,-3,-12,4.28,4.28,3.37,4.89,,,,,,,4/3,,arraelu01
172,Luis Arraez,27,SDP,NL,67,67,60,582.0,502,447,50,5,37,.990,2,4,-3,-6,7.69,7.88,7.10,7.65,,,,,,,3D/4H,,arraelu01
173,J.T. Realmuto,33,PHI,NL,99,99,93,871.1,938,899,34,5,5,.995,2,3,0,0,9.64,9.06,9.42,8.94,4,30,66,16,19.5,0,2,,realmjt01
174,Nick Fortes,27,MIA,NL,109,99,79,864.0,878,831,38,9,3,.990,-1,-1,5,7,9.05,9.06,7.97,8.94,4,25,93,26,21.8,2,*2/H,,forteni01
175,Lars Nootbaar,26,STL,NL,107,98,69,863.0,214,209,2,3,2,.986,-6,-8,0,0,2.20,2.21,1.97,2.18,,,,,,,978/H,,nootbla01
176,Seth Brown,31,OAK,AL,121,93,72,862.2,398,367,27,4,17,.990,0,0,-6,-8,4.11,4.19,3.10,4.25,,,,,,,739H/D8,,brownse01
177,Geraldo Perdomo,24,ARI,NL,97,95,89,849.1,378,112,261,5,55,.987,2,2,10,14,3.95,3.82,3.85,3.77,,,,,,,6/H,,perdoge01
178,Christopher Morel,25,2TM,2LG,106,104,60,846.2,272,84,175,13,15,.952,-11,-16,-6,-9,2.75,2.83,2.44,2.76,,,,,,,5D47/H,,morelch01
178,Christopher Morel,25,CHC,NL,74,73,34,579.0,168,47,112,9,8,.946,-8,-16,-4,-8,2.47,2.55,2.15,2.51,,,,,,,5D/H,,morelch01
178,Christopher Morel,25,TBR,AL,32,31,26,267.2,104,37,63,4,7,.962,-4,-16,-2,-9,3.36,3.44,3.13,3.33,,,,,,,4D7/H,,morelch01
179,Wenceel Pérez,24,DET,AL,105,94,81,846.1,192,189,1,2,0,.990,2,3,-2,-3,2.02,2.27,1.81,2.24,,,,,,,98H/7D,,perezwe01
180,Korey Lee,25,CHW,AL,113,93,88,838.1,861,824,33,4,4,.995,-1,-1,-10,-14,9.20,9.16,7.58,9.03,9,36,78,25,24.3,2,*2H/D,,leeko01
181,Michael Conforto,31,SFG,NL,106,95,84,835.0,159,152,5,2,1,.987,-7,-10,0,0,1.69,2.21,1.48,2.18,,,,,,,7DH,,confomi01
182,Bryan De La Cruz,27,2TM,NL,99,95,86,834.2,190,178,8,4,2,.979,-8,-11,-7,-10,2.01,2.21,1.88,2.18,,,,,,,7D9/H,,delacbr01
182,Bryan De La Cruz,27,MIA,NL,55,54,46,473.0,103,96,6,1,1,.990,-7,-17,-3,-8,1.94,2.21,1.85,2.18,,,,,,,7D/9H,,delacbr01
182,Bryan De La Cruz,27,PIT,NL,44,41,40,361.2,87,82,2,3,1,.966,-1,-2,-4,-13,2.09,2.21,1.91,2.18,,,,,,,9/7H,,delacbr01
183,Ke'Bryan Hayes,27,PIT,NL,96,93,92,829.2,265,75,185,5,28,.981,10,14,10,14,2.82,2.55,2.71,2.51,,,,,,,5/H,,hayeske01
184,Luis Robert Jr.,26,CHW,AL,97,95,92,828.2,257,254,1,2,0,.992,-8,-11,1,1,2.77,2.27,2.63,2.24,,,,,,,8/DH,,roberlu01
185,Fernando Tatis Jr.,25,SDP,NL,96,95,86,822.2,182,171,6,5,1,.973,-9,-13,0,0,1.94,2.21,1.84,2.18,,,,,,,9/DH,AS,tatisfe02
186,Tyler Freeman,25,CLE,AL,113,90,71,817.0,240,205,32,3,6,.988,1,1,3,4,2.61,2.40,1.96,2.45,,,,,,,8H6/54D,,freemty01
187,Santiago Espinal,29,CIN,NL,105,90,79,816.2,253,85,162,6,20,.976,-3,-5,-5,-7,2.72,3.07,2.17,3.01,,,,,,,54HD/679,,espinsa01
188,Connor Joe,31,PIT,NL,113,90,51,816.2,500,457,39,4,46,.992,-6,-9,4,6,5.47,5.59,3.88,5.88,,,,,,,39H/7D,,joeco01
